Year;Sort;Destination;Total;Other North;Other South;Afghanistan;Albania;Algeria;American Samoa;Andorra;Angola;Anguilla;Antigua and Barbuda;Argentina;Armenia;Aruba;Australia;Austria;Azerbaijan;Bahamas;Bahrain;Bangladesh;Barbados;Belarus;Belgium;Belize;Benin;Bermuda;Bhutan;Bolivia;Bosnia and Herzegovina;Botswana;Brazil;Virgin Islands, British;Brunei Darussalam;Bulgaria;Burkina Faso;Burundi;Cape Verde;Cambodia;Cameroon;Canada;Caribbean Netherlands;Cayman Islands;Central African Republic;Chad;Channel Islands;Chile;China;Colombia;Comoros;Congo (Brazzaville);Cook Islands;Costa Rica;Ivory Coast;Croatia;Cuba;Curacao;Cyprus;Czech Republic;North Korea;Congo (Kinshasa);Denmark;Djibouti;Dominica;Dominican Republic;Ecuador;Egypt;El Salvador;Equatorial Guinea;Eritrea;Estonia;Ethiopia;Faeroe Islands;Falkland Islands (Malvinas);Fiji;Finland;France;French Guiana;French Polynesia;Gabon;Gambia;Georgia;Germany;Ghana;Gibraltar;Greece;Greenland;Grenada;Guadeloupe;Guam;Guatemala;Guinea;Guinea-Bissau;Guyana;Haiti;Holy See (Vatican City State);Honduras;Hungary;Iceland;India;Indonesia;Iran;Iraq;Ireland;Isle of Man;Israel;Italy;Jamaica;Japan;Jordan;Kazakhstan;Kenya;Kiribati;Kuwait;Kyrgyzstan;Lao People's Democratic Republic;Latvia;Lebanon;Lesotho;Liberia;Libya;Liechtenstein;Lithuania;Luxembourg;Madagascar;Malawi;Malaysia;Maldives;Mali;Malta;Marshall Islands;Martinique;Mauritania;Mauritius;Mayotte;Mexico;Micronesia;Monaco;Mongolia;Montenegro;Montserrat;Morocco;Mozambique;Myanmar;Namibia;Nauru;Nepal;Netherlands;New Caledonia;New Zealand;Nicaragua;Niger;Nigeria;Niue;Northern Mariana Islands;Norway;Oman;Pakistan;Palau;Panama;Papua New Guinea;Paraguay;Peru;Philippines;Poland;Portugal;Puerto Rico;Qatar;South Korea;Moldova;Reunion;Romania;Russia;Rwanda;Saint Helena, Ascension and Tristan da Cunha;Saint Kitts and Nevis;Saint Lucia;Saint Pierre and Miquelon;Saint Vincent and the Grenadines;Samoa;San Marino;Sao Tome and Principe;Saudi Arabia;Senegal;Serbia;Seychelles;Sierra Leone;Singapore;Sint Maarten (Dutch part);Slovakia;Slovenia;Solomon Islands;Somalia;South Africa;South Sudan;Spain;Sri Lanka;Palestinian Territories;Sudan;Suriname;Swaziland;Sweden;Switzerland;Syrian Arab Republic;Tajikistan;Macedonia;Thailand;Timor-Leste;Togo;Tokelau;Tonga;Trinidad and Tobago;Tunisia;Turkey;Turkmenistan;Turks and Caicos Islands;Tuvalu;Uganda;Ukraine;United Arab Emirates;United Kingdom;Tanzania;United States;Virgin Islands, British;Uruguay;Uzbekistan;Vanuatu;Venezuela;Vietnam;Wallis and Futuna;Yemen;Zambia;Zimbabwe
2010;2010021;Malawi;217722;11849;35553;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;5314;..;..;..;..;..;..;..;..;..;..;..;..;..;1413;..;..;..;..;..;..;..;..;..;2237;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;2419;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;54826;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;4631;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;56;8272;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1478;9620;..;..;..;..;..;..;..;..;..;42865;37189
2010;2010022;Mauritius;24836;159;1180;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;7235;..;..;103;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;32;..;..;..;..;..;..;2564;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1308;..;..;..;..;..;119;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;7517;..;..;..;44;..;..;127;..;8;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1979;..;53;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;163;..;..;..;..;..;..;..;..;..;..;..;..;..;..;43;..;..;..;..;..;..;..;..;..;..;..;..;108;..;..;..;..;..;..;..;541;..;24;979;..;..;..;..;..;92;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;395;..;43;..;..;..;..;..;..;..;..;..;..
2010;2010023;Mayotte;72757;753;756;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;56520;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;9498;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;5230;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
2010;2010024;Mozambique;214612;15691;54030;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;6524;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;2250;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;2344;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;7548;..;..;..;..;..;..;74598;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1235;..;..;..;..;..;..;..;4256;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;8566;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;7367;..;..;..;..;..;..;..;..;..;5722;24481
2010;2010025;Reunion;123029;5011;7184;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;2143;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;81294;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;16210;..;..;..;..;..;..;..;..;4893;6294;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
2010;2010026;Rwanda;436787;2607;16500;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;64931;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;214283;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;2598;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;92808;..;..;..;43060;..;..;..;..;..;..;..;..;..;..;..
2010;2010027;Seychelles;11420;136;231;..;..;..;..;..;..;..;..;..;..;..;46;..;..;..;..;197;..;..;34;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;456;..;..;..;..;..;..;..;39;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;214;..;..;..;..;..;76;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;5788;126;..;..;..;..;..;109;..;..;..;..;366;..;..;..;..;..;..;..;..;..;..;..;..;716;..;..;34;..;..;..;..;..;495;..;..;..;..;..;..;..;..;..;..;..;..;157;..;..;..;..;..;122;..;..;..;..;22;..;..;..;..;..;630;..;..;..;..;..;..;..;..;86;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;58;228;..;22;534;..;..;..;..;..;..;..;..;..;214;..;..;..;..;..;..;..;..;..;..;25;..;..;259;..;..;..;..;..;..;..;..;..;..;..;..
2010;2010028;Somalia;23995;7352;14724;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;37;..;1882;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
2010;2010029;South Sudan;257905;..;2564;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;5166;5327;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;67795;..;..;..;..;..;5287;..;..;3410;..;8605;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1454;..;..;..;..;..;..;..;..;..;..;..;9821;..;..;..;..;..;..;..;..;177;..;..;..;..;..;..;..;198;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;3635;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;144466;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
2010;2010030;Uganda;529160;49;3010;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;149;..;..;46;..;..;..;..;..;..;..;..;..;..;..;..;21030;..;..;..;277;..;..;..;..;..;..;426;..;..;..;..;..;..;..;..;..;..;..;155;166901;182;..;..;..;..;..;..;..;3490;..;989;..;..;..;..;259;..;..;..;..;..;243;..;..;43;..;..;..;..;..;..;..;..;..;..;..;..;..;4090;..;..;..;..;..;..;421;..;212;..;..;43824;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;31;..;..;..;..;223;..;..;..;..;..;..;..;..;..;697;..;..;..;..;..;..;..;..;..;..;182;..;..;..;318;76836;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;11168;..;..;63;..;..;166124;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1249;25473;1000;..;..;..;..;..;..;..;..;..;..
