Year;Sort;Destination;Total;Other North;Other South;Afghanistan;Albania;Algeria;American Samoa;Andorra;Angola;Anguilla;Antigua and Barbuda;Argentina;Armenia;Aruba;Australia;Austria;Azerbaijan;Bahamas;Bahrain;Bangladesh;Barbados;Belarus;Belgium;Belize;Benin;Bermuda;Bhutan;Bolivia;Bosnia and Herzegovina;Botswana;Brazil;Virgin Islands, British;Brunei Darussalam;Bulgaria;Burkina Faso;Burundi;Cape Verde;Cambodia;Cameroon;Canada;Caribbean Netherlands;Cayman Islands;Central African Republic;Chad;Channel Islands;Chile;China;Colombia;Comoros;Congo (Brazzaville);Cook Islands;Costa Rica;Ivory Coast;Croatia;Cuba;Curacao;Cyprus;Czech Republic;North Korea;Congo (Kinshasa);Denmark;Djibouti;Dominica;Dominican Republic;Ecuador;Egypt;El Salvador;Equatorial Guinea;Eritrea;Estonia;Ethiopia;Faeroe Islands;Falkland Islands (Malvinas);Fiji;Finland;France;French Guiana;French Polynesia;Gabon;Gambia;Georgia;Germany;Ghana;Gibraltar;Greece;Greenland;Grenada;Guadeloupe;Guam;Guatemala;Guinea;Guinea-Bissau;Guyana;Haiti;Holy See (Vatican City State);Honduras;Hungary;Iceland;India;Indonesia;Iran;Iraq;Ireland;Isle of Man;Israel;Italy;Jamaica;Japan;Jordan;Kazakhstan;Kenya;Kiribati;Kuwait;Kyrgyzstan;Lao People's Democratic Republic;Latvia;Lebanon;Lesotho;Liberia;Libya;Liechtenstein;Lithuania;Luxembourg;Madagascar;Malawi;Malaysia;Maldives;Mali;Malta;Marshall Islands;Martinique;Mauritania;Mauritius;Mayotte;Mexico;Micronesia;Monaco;Mongolia;Montenegro;Montserrat;Morocco;Mozambique;Myanmar;Namibia;Nauru;Nepal;Netherlands;New Caledonia;New Zealand;Nicaragua;Niger;Nigeria;Niue;Northern Mariana Islands;Norway;Oman;Pakistan;Palau;Panama;Papua New Guinea;Paraguay;Peru;Philippines;Poland;Portugal;Puerto Rico;Qatar;South Korea;Moldova;Reunion;Romania;Russia;Rwanda;Saint Helena, Ascension and Tristan da Cunha;Saint Kitts and Nevis;Saint Lucia;Saint Pierre and Miquelon;Saint Vincent and the Grenadines;Samoa;San Marino;Sao Tome and Principe;Saudi Arabia;Senegal;Serbia;Seychelles;Sierra Leone;Singapore;Sint Maarten (Dutch part);Slovakia;Slovenia;Solomon Islands;Somalia;South Africa;South Sudan;Spain;Sri Lanka;Palestinian Territories;Sudan;Suriname;Swaziland;Sweden;Switzerland;Syrian Arab Republic;Tajikistan;Macedonia;Thailand;Timor-Leste;Togo;Tokelau;Tonga;Trinidad and Tobago;Tunisia;Turkey;Turkmenistan;Turks and Caicos Islands;Tuvalu;Uganda;Ukraine;United Arab Emirates;United Kingdom;Tanzania;United States;Virgin Islands, British;Uruguay;Uzbekistan;Vanuatu;Venezuela;Vietnam;Wallis and Futuna;Yemen;Zambia;Zimbabwe
2010;2010151;Ireland;730542;..;..;145;291;576;..;2;470;1;2;320;52;7;6462;767;49;26;80;3164;18;598;1603;2;33;56;7;17;627;78;10075;1;16;1932;9;47;4;11;339;5211;..;24;8;10;..;139;12416;..;..;2466;..;11;130;495;81;..;282;5953;128;51;959;1;1;10;38;521;26;..;37;2686;151;3;4;14;946;10912;..;1;4;56;250;14065;493;38;623;1;14;..;..;122;49;1;28;4;..;12;8033;37;19348;125;436;443;..;..;215;7743;117;518;109;254;472;..;197;31;33;21660;130;38;105;430;2;37759;153;12;74;4098;2;28;364;..;..;8;3163;..;299;..;7;311;..;1;268;38;63;37;..;133;4875;7;2223;16;126;21433;..;..;299;48;9025;..;16;13;26;124;14989;124820;2434;..;34;189;3707;..;19499;6432;78;7;2;7;..;2;13;..;..;420;22;..;11;192;211;..;11589;206;2;520;8794;..;7588;233;66;576;12;21;1829;541;112;21;641;524;3;112;..;1;109;98;479;4;1;..;146;4468;197;249392;122;30043;..;54;90;1;125;622;..;30;333;3033
2010;2010152;Isle of Man;43447;1366;704;..;..;..;..;..;..;..;..;..;..;..;356;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;198;..;..;..;..;253;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;2116;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;91;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;577;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;37521;..;265;..;..;..;..;..;..;..;..;..;..
2010;2010153;Latvia;313786;..;..;25;7;17;..;1;2;..;..;22;922;..;166;142;2433;..;..;8;..;54799;116;..;..;..;..;..;6;..;37;..;..;538;..;..;1;..;2;148;..;..;1;..;..;5;230;10;..;1;..;1;2;6;57;..;22;249;14;..;288;..;..;1;..;42;..;..;..;3442;..;..;..;..;277;331;..;..;..;..;1614;3097;..;..;34;1;..;..;..;..;..;..;..;..;..;..;244;40;102;3;38;11;761;..;117;317;1;15;7;7058;3;..;3;987;..;..;48;..;..;6;..;20226;13;..;..;4;..;1;10;..;..;..;..;..;45;..;..;128;..;..;11;..;..;..;..;14;134;..;14;..;..;12;..;..;192;..;35;..;..;..;1;8;5;1233;52;..;..;37;2039;..;310;163606;..;..;..;..;..;..;..;..;..;2;..;6;..;1;5;..;56;11;..;5;13;2;196;40;1;1;..;..;449;91;20;669;..;13;..;..;..;..;2;2;106;714;..;..;2;39933;9;1369;1;712;..;2;2296;..;35;10;..;..;..;4
2010;2010154;Lithuania;160772;144;254;24;..;..;..;..;..;..;..;67;678;..;44;60;1031;..;..;..;..;41370;205;..;..;..;..;..;..;..;70;..;..;83;..;..;..;..;..;36;..;..;..;..;..;..;60;..;..;..;..;..;..;..;..;..;33;94;..;..;354;..;..;..;..;56;..;..;..;958;..;..;..;..;101;335;..;..;..;..;723;1786;..;..;57;..;..;..;..;..;..;..;..;..;..;..;115;54;..;..;82;..;1465;..;39;338;..;28;..;5366;..;..;..;455;..;6670;52;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;75;..;..;..;..;..;..;..;..;131;..;..;..;..;28;..;..;1142;..;63;..;..;..;..;..;..;2633;59;..;..;..;710;..;213;70305;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;34;..;..;..;..;..;658;..;..;..;..;..;307;50;..;392;..;..;..;..;..;..;..;..;75;289;..;..;..;14475;27;3901;..;719;..;26;1133;..;..;40;..;..;..;..
2010;2010155;Norway;526799;601;9222;8864;438;1117;..;..;379;..;..;811;196;..;1794;1307;368;14;25;718;20;683;1306;..;18;..;233;424;12989;112;3605;..;29;2055;23;897;383;328;549;2800;..;..;..;23;..;6336;8852;4823;..;1694;..;247;285;2742;720;..;121;1354;42;147;22651;34;..;563;585;728;156;..;4839;1999;5170;813;..;40;6611;4635;..;..;..;1015;208;24853;1539;..;855;256;..;..;..;390;164;22;86;30;..;95;2153;4862;8243;1256;13086;20604;706;..;713;2279;145;1203;301;649;1504;..;317;141;85;2748;1680;..;897;287;26;9869;123;444;97;595;..;39;62;..;..;19;173;..;843;..;..;96;304;..;4881;139;2433;81;..;724;7271;..;527;156;35;1012;..;..;..;35;17220;..;52;..;137;1170;13458;49518;1107;23;32;7082;303;..;4390;13813;533;..;..;..;..;..;..;..;..;371;177;2295;..;468;595;..;2048;188;..;18002;1169;..;2684;8751;2668;1069;39;..;41781;1879;1428;92;2137;13089;..;95;..;..;335;859;10475;57;..;..;839;2463;244;16868;844;16046;..;188;303;..;631;12958;..;170;468;228
2010;2010156;Sweden;1337214;52660;35108;12792;1142;2480;..;..;710;..;..;2843;1513;..;3169;5913;1912;27;69;5520;116;1880;1856;..;66;..;30;3495;56337;81;5783;..;..;6254;65;2510;347;470;1319;2961;..;..;79;52;..;28426;21869;10257;..;595;..;346;676;6260;2273;..;528;1203;87;2091;46174;93;46;543;1903;3391;2646;33;8996;9979;13100;..;..;54;172864;7827;..;..;10;3622;728;47982;1760;..;11259;..;45;..;..;747;310;111;125;132;..;323;15175;4496;16518;2143;60146;118361;1877;..;2367;7559;275;2904;2652;1085;2136;..;1401;508;467;4131;23789;22;847;1238;..;5592;223;88;77;1375;11;95;126;..;..;42;167;..;1935;..;24;498;337;..;7064;314;1352;82;..;505;8355;..;951;613;30;2648;..;..;43983;33;9195;..;256;24;176;6565;9295;67771;2886;..;77;10270;412;..;18601;14497;358;..;..;29;..;..;26;..;..;1546;490;4630;59;667;742;..;1061;965;..;31853;1933;..;6563;6676;3244;1483;32;20;..;2995;19719;209;4507;28846;..;303;..;27;272;3888;40919;210;..;..;2863;4250;692;20444;1345;16617;..;2286;2080;..;804;14047;..;491;396;421
2010;2010157;United Kingdom;7604583;31964;12060;60757;13075;23879;..;57;13988;520;3558;10094;1594;603;120868;19315;2783;1844;5573;204858;18045;4215;25941;1294;603;4097;412;3602;7540;3128;49898;261;5102;46176;212;4291;1139;1162;9801;76921;..;814;153;331;17753;6830;162564;24649;138;8511;..;693;7598;8038;2373;..;75498;37035;16643;18668;22230;434;6100;1323;8388;29985;846;279;16941;8333;14825;380;863;6013;12752;133406;..;77;351;10856;3017;286819;91540;10643;35339;53;8910;..;..;934;2252;2290;20881;304;..;609;49996;1981;691279;9208;81080;72047;447993;9426;17454;135115;153842;35720;5627;4837;134474;163;12511;1008;639;58790;15247;758;3422;15742;29;104022;1862;998;15908;66922;359;366;28270;..;..;207;40167;..;9348;..;383;1621;1001;6969;20936;5670;11629;2359;28;48686;60965;109;59885;361;193;192508;..;..;16233;3055;481113;..;685;1069;727;6933;124236;625807;88094;..;2409;6024;3043;13;79580;37824;4257;2597;5401;8756;..;7129;207;..;915;32177;1902;8019;3453;22504;40369;..;60334;2046;325;98604;194701;..;81162;123509;..;17588;425;1421;31204;19101;8858;405;2823;42184;1788;1552;..;267;22579;5882;89865;699;99;..;58257;20842;10962;..;34441;188843;120;1311;2550;150;8754;28868;..;17273;27503;118337
2010;2010159;Albania;52784;4693;1152;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;920;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;32054;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;9025;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;542;..;..;..;..;..;..;..;1990;..;..;..;..;..;..;..;..;2408;..;..;..;..;..;..;..;..;..;..
2010;2010160;Andorra;52053;1882;627;..;..;..;..;..;..;..;..;819;..;..;70;..;..;..;..;..;..;..;231;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;230;..;..;..;..;..;..;..;..;..;..;..;..;..;..;121;..;..;..;..;..;..;..;..;..;..;..;..;..;..;4796;..;..;..;..;..;392;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;527;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;556;..;..;..;..;..;257;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;443;..;13686;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;25929;..;..;..;..;..;53;87;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1125;..;100;..;122;..;..;..;..;..;..;..;..
2010;2010161;Bosnia and Herzegovina;38792;474;477;..;..;..;..;..;..;..;..;..;..;..;..;211;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;12849;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;175;..;..;..;..;..;558;..;..;..;..;..;..;..;..;..;..;..;..;..;..;161;..;..;..;..;..;..;..;..;117;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;4423;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;409;179;..;..;..;..;..;..;..;..;..;..;..;10280;..;..;..;..;3409;1973;..;..;..;..;..;..;..;..;..;..;..;..;..;..;3097;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
2010;2010162;Croatia;573248;14860;4954;..;172;56;..;..;..;..;..;199;..;..;1585;5115;..;..;..;..;..;93;373;..;..;..;..;32;402318;..;192;..;..;303;..;..;..;..;..;998;..;..;..;..;..;125;443;45;..;..;..;..;..;..;..;..;..;943;..;..;101;..;..;..;..;245;..;..;..;20;..;..;..;..;39;1749;..;..;..;..;..;33561;..;..;146;..;..;..;..;..;..;..;..;..;..;..;1037;..;67;27;48;81;53;..;55;3120;..;56;68;67;..;..;..;..;..;27;65;..;..;149;..;26;31;..;..;..;..;..;..;..;..;..;..;..;39;..;..;..;6142;..;29;..;..;..;..;..;804;..;115;..;..;29;..;..;112;..;..;..;..;..;..;85;75;732;50;..;..;27;113;..;496;1303;..;..;..;..;..;..;..;..;..;..;..;51856;..;..;..;..;640;19463;..;..;202;..;187;..;43;66;..;..;624;2990;179;..;9992;..;..;..;..;..;..;..;85;..;..;..;..;753;..;666;..;1606;..;..;..;..;55;..;..;..;46;..
2010;2010163;Gibraltar;10369;1325;852;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;933;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1942;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;5317;..;..;..;..;..;..;..;..;..;..;..;..
2010;2010164;Greece;1321149;..;..;6731;465034;1171;..;4;9;11;31;681;15191;1;21503;2395;538;23;24;10432;11;1549;5447;5;8;8;2;24;468;8;2356;1;..;77506;84;141;14;22;491;13408;..;..;418;19;2;390;3610;424;78;1503;..;40;122;455;374;..;22974;4710;36;222;958;41;19;601;89;30056;53;1;297;137;2573;1;..;1;819;7118;..;10;8;53;88665;121579;634;5;..;3;2;..;..;32;193;..;11;40;..;53;1837;57;10794;471;2025;3882;627;5;757;6701;12;541;864;28689;482;..;148;582;43;374;2181;..;33;681;10;579;147;138;..;66;3;31;95;..;..;125;40;..;421;..;47;8;..;83;2206;68;20;8;..;53;3982;..;522;170;26;3038;..;..;549;5;33275;199;166;4;84;309;9006;16654;345;..;1172;224;10684;..;49116;57621;103;4;2;..;1;7;477;1;7;452;680;4659;26;186;87;..;917;138;..;788;7346;..;1255;944;1064;1972;9;22;5762;3931;7489;103;2306;401;230;14;..;..;18;676;35608;123;..;11;148;20687;91;18798;420;24284;..;119;8819;75;1091;223;1;29;253;446
2010;2010165;Holy See (Vatican City State);794;478;316;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
2010;2010166;Italy;5787898;..;..;6567;447515;22467;..;130;1869;..;23;73170;1256;..;19847;16328;709;93;50;97019;50;32377;46385;24;2566;..;35;15695;11104;44;104189;..;32;57681;11655;1007;6159;1322;11455;25536;..;..;238;563;..;12425;200400;39525;37;3384;..;1508;25551;24705;33463;..;650;10401;125;6086;3237;89;337;42262;88314;108471;12462;121;13591;1382;30396;..;..;44;2827;134380;..;..;384;1515;12224;219975;46540;..;17402;..;16;..;..;2135;3898;782;74;703;178;2323;12887;207;136380;3158;14431;3888;3628;..;3882;..;346;8284;2990;3850;3640;5;543;1326;260;3199;7085;31;2006;36216;132;5645;4798;2382;171;613;34;4176;1928;5;..;677;9497;..;8825;13;1617;275;2285;..;425165;857;441;93;2;1775;13032;..;901;1175;1060;56249;..;..;1981;52;84778;7;1021;32;2636;116018;143432;118621;6414;..;80;3930;166791;..;1021438;80736;778;..;4;22;..;20;68;1913;74;962;84801;45573;978;1377;567;..;10994;4698;4;11554;5656;..;31824;85078;391;2914;50;36;6410;198136;6057;186;73021;9864;79;5151;..;21;167;107653;20487;206;..;6;967;222203;370;64975;1604;54217;..;7499;2509;23;48962;5257;..;263;874;881
2010;2010167;Malta;33008;23;757;..;72;49;..;..;..;..;..;10;26;..;3939;103;..;..;..;14;..;27;155;..;..;..;..;..;153;..;90;..;..;842;..;..;..;..;..;1699;..;..;..;..;..;..;333;..;..;..;..;..;..;68;..;..;42;76;..;..;122;..;..;..;..;436;..;..;487;..;319;..;..;..;74;401;..;..;..;..;38;915;63;..;72;..;..;..;..;..;..;..;..;..;..;..;134;..;245;21;28;77;254;..;11;1364;..;43;37;..;31;..;54;..;..;72;60;..;..;746;..;42;..;..;..;37;..;..;..;..;..;..;..;..;..;..;..;..;..;..;208;..;..;..;..;..;396;..;40;..;35;317;..;..;62;..;170;..;..;..;..;26;446;232;54;..;..;..;32;..;631;883;..;..;..;..;..;..;..;..;..;25;..;513;..;..;29;..;95;20;..;965;162;..;141;16;50;218;..;..;433;97;245;..;28;100;..;..;..;..;12;300;214;..;..;..;..;268;24;9608;..;1199;..;..;19;..;..;..;..;..;..;34
2010;2010168;Montenegro;78507;128;254;..;2015;..;..;..;..;..;..;..;..;..;122;245;..;..;..;..;..;..;..;..;..;..;..;..;34300;..;..;..;..;70;..;..;..;..;..;66;..;..;..;..;..;..;..;..;..;..;..;..;..;14529;..;..;..;115;..;..;93;..;..;..;..;..;..;..;..;..;..;..;..;..;..;397;..;..;..;..;..;1785;..;..;50;..;..;..;..;..;..;..;..;..;..;..;45;..;..;..;..;..;..;..;..;186;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;96;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;138;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;94;..;..;..;..;..;..;101;823;..;..;..;..;..;..;..;..;..;..;..;17454;..;..;..;..;54;1438;..;..;..;..;..;..;..;..;..;..;144;202;..;..;2949;..;..;..;..;..;..;..;79;..;..;..;..;135;..;98;..;302;..;..;..;..;..;..;..;..;..;..
2010;2010169;Portugal;762825;809;2274;..;44;203;..;329;137826;..;..;1165;89;..;1061;445;58;..;..;1297;..;834;3017;..;29;..;..;188;37;..;118415;..;..;4568;..;..;52513;..;65;6417;..;..;..;..;..;172;9227;568;..;419;..;..;114;72;1431;..;26;218;65;1603;349;..;..;59;394;370;76;194;..;112;27;..;..;..;295;80086;..;..;499;101;943;23733;170;..;165;..;..;..;..;27;3970;25070;..;..;..;..;352;25;6889;218;180;37;1377;..;299;2405;23;273;25;769;90;..;..;..;..;182;65;..;25;25;179;322;3463;23;403;43;..;100;38;..;..;35;..;..;234;..;..;..;69;..;1736;61946;..;..;..;468;3493;..;39;..;..;235;..;..;292;..;1708;..;30;..;48;252;419;859;..;..;..;113;17400;..;20079;5006;..;..;..;..;..;..;..;..;15804;..;1833;46;..;48;25;..;82;50;..;..;9728;..;13976;23;..;..;..;511;709;14276;23;..;241;241;1516;66;..;..;..;121;262;..;..;..;24;41047;..;16215;61;6137;..;198;776;..;21323;48;..;..;..;1010
2010;2010170;San Marino;4399;98;109;..;30;..;..;..;..;..;..;69;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;24;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;24;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;3829;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;25;..;..;..;..;..;..;109;29;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;53;..;..;..;..;..;..;..;..;..;..;..;..;..;..
2010;2010171;Serbia;826066;87;572;..;478;55;..;..;..;..;..;51;162;..;691;7160;..;..;..;..;..;138;223;..;..;..;..;..;343743;..;87;..;..;1161;..;..;..;..;..;627;..;..;..;..;..;..;1804;..;..;..;..;..;..;289781;30;..;177;526;..;..;188;..;..;..;..;79;..;..;..;..;..;..;..;..;35;5513;..;..;..;..;50;16455;30;..;936;..;..;..;..;..;..;..;..;..;..;..;1842;..;302;33;67;181;54;..;112;1968;..;40;102;100;..;..;69;..;..;..;47;..;..;383;..;29;93;..;..;..;..;..;55;..;..;..;..;..;27;..;..;..;72867;..;34;..;..;..;..;..;770;..;25;..;..;..;..;..;142;..;..;..;..;..;..;51;45;680;40;..;..;27;236;..;3691;3012;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;488;11183;..;..;145;..;162;..;78;..;..;..;1219;2922;126;..;47797;..;..;..;..;..;..;41;397;30;..;..;..;1304;25;662;..;1316;..;..;82;..;38;..;..;..;59;29
2010;2010172;Slovenia;253786;43;15;5;100;36;..;..;3;..;..;433;7;..;411;5735;4;..;..;3;..;108;384;1;..;..;..;16;107807;1;82;..;..;497;4;3;1;2;7;410;..;..;3;..;..;29;766;31;1;7;..;1;1;58624;42;..;7;348;28;2;49;..;..;158;78;13;..;95;..;3;18;..;..;..;13;15014;..;..;1713;2;4;15;12868;..;19;82;..;..;..;..;1;8;..;2;..;1;..;471;9;86;26;56;58;..;28;40;4527;7;75;74;47;..;7308;9;5;1;23;25;..;3;48;14;34;52;8;..;10;..;3;..;..;12;..;..;4;..;..;300;5;..;2894;18;2;4;..;..;12;..;..;403;3;..;..;..;252;26;2;..;..;..;..;6;37;65;398;..;37;715;39;..;1;296;972;..;..;..;..;..;..;..;..;..;8;3;21883;..;7;..;8;..;..;452;1;..;193;111;18;10;..;13;..;407;1451;2;30;1;206;..;..;..;..;..;38;95;..;..;4;2;1447;15;3;548;..;697;18;..;32;42;..;1;7;6
2010;2010173;Spain;6280065;1535;510;439;1802;60246;..;5578;4005;..;..;282553;10246;..;5594;8714;499;53;43;10533;36;3530;41797;25;420;..;..;216020;2162;..;132649;..;23;145061;1111;101;4499;82;5860;5698;..;..;142;95;..;64296;154918;376161;..;2333;..;3149;3187;1691;103189;..;309;8540;103;1614;11171;23;935;136976;496666;4053;7951;21552;140;1254;2695;..;..;31;10378;210047;..;..;271;18687;9792;212883;14894;..;3625;..;513;..;..;6440;12192;6554;108;610;..;26902;7773;1043;35224;1967;4920;1694;13455;..;2659;87330;262;5638;2099;1184;1327;..;405;255;203;3129;3125;..;914;749;116;18531;1398;383;43;515;..;23680;263;..;..;11138;237;..;44801;109;234;367;138;..;763734;1239;76;112;..;2594;46634;..;821;12892;269;36852;..;..;14587;20;56836;..;4381;28;80087;197827;38863;74329;134592;..;52;3641;17111;..;727521;58461;254;..;..;60;..;..;..;24;203;527;56349;3726;43;1204;421;..;7312;1011;..;307;2437;..;..;565;..;396;196;..;18133;63693;4880;55;549;1630;..;486;..;..;182;2644;3276;27;..;48;195;79843;225;319145;293;35239;..;84809;507;..;148147;1112;..;96;149;306
2010;2010174;Macedonia;129701;563;852;..;70230;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;8043;..;..;..;..;990;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1323;..;..;..;50;..;..;..;..;..;..;..;1813;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;39;..;..;216;..;..;..;..;..;..;..;..;..;..;..;75;..;..;..;..;..;..;..;..;35;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;8519;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;93;..;..;..;..;..;..;22;199;..;..;..;..;..;..;..;..;..;..;..;16538;..;..;..;..;34;237;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;19770;..;..;..;..;60;..;..;..;..;..;..;..;..;..;..;..;..;..;..
2010;2010176;Austria;1275992;..;..;7370;2690;1103;..;2;292;..;6;1302;2609;..;2129;..;919;19;18;2340;18;1425;2201;35;68;16;21;435;132666;22;4434;..;5;13452;104;83;35;819;559;2177;..;..;25;11;..;1075;15145;1342;..;391;..;153;183;34205;752;..;277;47022;2405;599;1213;6;43;2672;565;12732;58;9;89;319;1091;..;..;15;1366;7665;..;..;21;538;2835;191269;2115;..;3422;..;13;..;1;319;258;58;16;54;..;84;38020;161;11607;1038;13249;4723;843;..;2191;25426;178;2539;640;943;840;..;216;554;106;690;1575;4;234;393;323;777;652;64;33;412;8;85;93;..;..;29;98;..;1292;1;21;1542;18675;..;1647;57;60;157;1;502;7247;..;379;178;27;7254;..;..;827;27;4116;1;53;51;195;1443;11847;56421;1473;5;22;..;1521;..;60079;26481;181;..;2;12;..;9;4;1;2;408;286;166876;37;229;245;..;23230;15311;12;1039;2388;..;3524;839;237;543;17;20;3036;13511;2838;243;18743;4792;..;187;..;6;59;3155;158045;120;..;11;234;7038;150;9416;134;9451;..;241;645;6;782;2859;..;81;97;255
