Country;2008;2009;2010;2011;2012;2013;2014;2015;2016
 Denmark;49586.8202;46517.5261;47696.4836;47632.8922;47542.0561;47833.0134;48269.5036;48086.2092;48309.1677
 Djibouti;4052.3499;4039.5541;4063.8335;4137.5759;4230.3566;4339.4342;4498.6271;4689.7542;4893.6454
 Dominican Republic;14445.1839;14286.6186;15229.1658;15266.4925;15345.6023;15622.5894;16384.4117;17210.0328;18015.3369
 Eastern Africa;3076.4417;3222.7056;3368.9543;3510.2485;3541.968;3485.6958;3431.064;3518.729;3413.5037
 Eastern Asia;12418.1201;12824.8506;13831.084;14553.9648;15287.2686;16388.252;17316.5;18152.752;19235.502
 Eastern Europe;19466.9609;18126.7188;18703.998;20074.6445;20578.707;20781.8926;21247.8418;21031.8145;21352.6602
 Ecuador;12739.3031;12544.5496;12755.8272;13430.0962;13863.5508;14194.9149;14417.8179;14125.7483;13620.7602
 Egypt;14848.8896;14976.4691;14890.8284;14779.7373;14737.308;14706.4226;14885.248;15218.9018;15614.4411
 El Salvador;10728.473;10171.2108;10193.869;10248.4571;10164.0775;10150.2598;10110.598;10191.3299;10267.2772
 Equatorial Guinea;39959.9555;57469.0336;34316.6808;42306.1006;45702.3155;40183.102;35597.6876;34305.9518;29919.8385
 Eritrea;2297.4071;2322.9856;2314.6199;2452.4896;2561.5739;2579.0209;2647.2067;2712.4411;2737.0985
 Estonia;24756.4639;21602.4492;21634.8099;22912.3674;24088.4391;25240.0117;26421.748;27060.2616;27571.6321
 Ethiopia;3034.3427;3235.8702;3515.3577;3741.4982;3655.2841;3258.4552;2882.4876;3065.8219;3190.931
 Europe;30786.2813;29297.8281;29702.293;30405.3691;30380.0508;30416.2031;30807.1348;31064.9766;31542.7656
 European Union;35421.4805;33965.6953;34164.3164;34438.5352;34083.0273;34060.5313;34422.1563;35042.9063;35660.2031
 Fiji;9726.476;9646.1671;9525.9317;9680.4598;9641.0315;10151.6818;10293.5944;10553.2022;10599.2273
 Finland;45061.6022;41492.5898;42507.6873;42906.3478;42033.7252;41324.1808;41073.4744;40879.0699;41238.0305
 France;40114.3622;38674.1968;39229.2443;39801.7172;39663.4756;39703.0145;39756.6931;39904.4441;40202.3965
 Gabon;18344.4272;22757.5745;21557.5848;19079.3597;23884.0613;24762.1915;25955.2944;26028.2887;25936.004
 Gambia;2866.0816;3035.9392;3131.2288;2877.906;2942.7823;2972.1225;2873.124;2907.4987;2885.604
 Georgia;6484.1304;6284.5022;6578.6686;7129.9903;7817.8927;8088.495;8626.6493;8764.5328;9039.8748
 Germany;42246.1984;39821.5499;41359.8373;42725.3723;42834.694;42888.3198;43571.2765;44240.2241;44995.739
 Ghana;4712.7674;4779.5515;4977.779;5433.8497;5509.5557;6048.469;6020.8802;6123.4648;6202.7736
 Greece;34535.7113;33598.5566;30494.1764;26845.4747;25395.6765;24148.0911;24315.8811;24342.9023;24414.5782
 Grenada;15836.9878;14063.3697;14215.8293;14279.0557;13883.0211;14124.2044;14467.3831;15052.5054;15343.1674
 Guatemala;11050.981;10711.9738;10688.9296;10731.2452;10814.8493;10917.0955;10987.7264;11113.4551;11120.5638
 Guinea;2905.4912;2732.8734;2796.4085;2842.5923;2977.1515;2915.5929;2757.9272;2677.2106;2778.5063
 Guinea-Bissau;2218.1239;2237.3437;2300.5492;2420.031;2311.095;2318.0807;2249.8033;2290.639;2438.9848
 Guyana;7947.4025;8160.8088;8590.9309;8853.8712;9197.4003;9467.6977;9689.181;9873.7069;10033.0307
 Haiti;2511.7911;2473.1211;2350.981;2409.7912;2431.564;2455.2177;2443.0412;2418.9874;2400.9808
 Honduras;6925.1963;6611.6179;6467.9573;6461.2907;6411.3428;6380.0988;6394.5138;6430.1603;6468.5049
 Hong Kong;50454.6859;47377.0071;49646.1259;51745.0754;51384.7196;52618.7442;53518.6659;53995.557;54658.1657
